AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A712123,,9/25/2015 19:16,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby
A697071,Benji,2/22/2015 18:17,Adoption,,Dog,Neutered Male,6 months,Rat Terrier/Cardigan Welsh Corgi,Black/Gray
A663019,Johnny,10/19/2013 17:04,Adoption,Foster,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Brown/Black
A667792,,12/4/2013 12:43,Transfer,Partner,Dog,Spayed Female,2 years,Jack Russell Terrier/Dachshund,Black/Brown
A717093,Bambi,12/19/2015 16:11,Transfer,Partner,Dog,Intact Female,5 years,Chihuahua Shorthair Mix,Tan
A715488,,11/9/2015 14:46,Transfer,Partner,Dog,Intact Male,1 year,Miniature Pinscher Mix,Brown
A669131,Lucky,12/28/2013 15:26,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black/White
A717554,Lucky,12/19/2015 12:06,Adoption,,Dog,Neutered Male,5 years,Dachshund Mix,Tan/White
A706488,,6/29/2015 16:37,Transfer,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Orange Tabby
A656510,Sonny,1/15/2014 8:32,Adoption,Foster,Cat,Neutered Male,7 years,Domestic Medium Hair Mix,Black
A691170,Butter,11/17/2014 17:15,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby
A668524,Bonita,2/4/2014 18:39,Adoption,Foster,Dog,Spayed Female,2 months,Chihuahua Shorthair,Tan/White
A667606,Treasure,1/19/2014 16:47,Adoption,Offsite,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Torbie
A665066,Gigi,11/3/2013 12:50,Adoption,,Dog,Spayed Female,4 years,Border Collie/Chow Chow,Black
A676339,Edward,6/5/2014 15:38,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A697673,,2/27/2015 9:00,Transfer,SCRP,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby/White
A674674,,3/16/2014 18:16,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Brown Tabby/White
A702031,Brimmer,5/31/2015 15:47,Transfer,Partner,Dog,Intact Male,2 years,English Setter Mix,White/Brown
A692470,,12/1/2014 11:44,Transfer,Partner,Dog,Spayed Female,1 year,Miniature Poodle Mix,White
A714466,Sam,11/2/2015 18:28,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A705975,Laramie,7/26/2015 17:30,Adoption,,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Black/White
A683867,Blondie,8/22/2014 12:29,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A685051,,8/2/2014 9:00,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby
A684951,,8/3/2014 15:39,Transfer,Partner,Dog,Intact Female,2 months,Chihuahua Shorthair Mix,Black
A662946,Lyle,10/14/2013 16:32,Transfer,Partner,Dog,Neutered Male,1 year,Dachshund Mix,Tan
A670902,Penny,1/20/2014 11:08,Transfer,Partner,Dog,Neutered Male,9 months,Pomeranian Mix,Cream
A664052,Valentine,9/9/2014 18:45,Adoption,,Dog,Spayed Female,5 years,Pit Bull Mix,Brown/White
A700710,Buck,4/30/2015 16:08,Adoption,,Dog,Neutered Male,10 months,Chihuahua Shorthair Mix,Black/White
A673180,Chuck,2/25/2014 14:12,Transfer,Partner,Cat,Neutered Male,5 years,Domestic Longhair Mix,Cream Tabby
A655529,Rhino,11/11/2013 11:48,Transfer,Partner,Dog,Neutered Male,1 year,Boxer/Pit Bull,White/Tan
A661681,Annie,4/20/2014 15:44,Adoption,Foster,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby/White
A688232,Sally,10/1/2014 15:08,Transfer,Partner,Dog,Spayed Female,5 years,Labrador Retriever Mix,White
A711132,Stomper,9/3/2015 18:24,Return_to_owner,,Dog,Neutered Male,2 years,Basset Hound Mix,White/Tricolor
A653745,Silvercloud,3/10/2015 17:51,Return_to_owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Blue/White
A677663,Riley,5/9/2014 12:44,Adoption,,Dog,Intact Female,2 months,Greater Swiss Mountain Dog Mix,Tricolor/White
A662260,Todd,12/24/2013 12:54,Transfer,Partner,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black
A696877,Rufus,3/11/2015 19:24,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever Mix,Chocolate/White
A706462,,6/29/2015 13:51,Died,,Cat,Unknown,1 week,Domestic Shorthair Mix,Orange Tabby
A698392,Chief,3/14/2015 17:13,Return_to_owner,,Dog,Neutered Male,7 months,German Shepherd,Sable/Black
A714805,Dolly,1/11/2016 17:50,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico
A706293,Nana,7/1/2015 18:15,Adoption,,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Brown
A674384,Sofie,3/29/2014 16:12,Adoption,,Dog,Spayed Female,4 years,Border Collie Mix,White/Black
A717683,Tabitha,1/18/2016 16:18,Adoption,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Brown Tabby
A699961,Lil Bear,4/19/2015 12:22,Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Brown/Tan
A682808,,7/7/2014 18:39,Adoption,,Dog,Neutered Male,4 months,German Shepherd Mix,Chocolate/Tan
A683239,X,7/18/2014 15:46,Transfer,Partner,Cat,Intact Female,5 years,Domestic Shorthair Mix,Torbie/White
A718343,,1/3/2016 16:44,Transfer,Partner,Dog,Intact Male,1 month,Chihuahua Shorthair Mix,Brown/Black
A716587,,11/25/2015 20:20,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tricolor
A673190,Charlotte,3/30/2014 12:28,Adoption,,Cat,Spayed Female,1 year,Domestic Longhair Mix,Brown Tabby
A716113,,11/20/2015 12:30,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Torbie/White
A668579,Chico,12/21/2013 15:56,Transfer,Partner,Dog,Neutered Male,10 months,Chihuahua Shorthair Mix,Chocolate/White
A703745,Coco,5/30/2015 18:10,Return_to_owner,,Dog,Spayed Female,12 years,Labrador Retriever/Doberman Pinsch,Chocolate/Tan
A701935,,5/6/2015 16:31,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby
A700318,Charles,7/1/2015 11:21,Transfer,Partner,Dog,Neutered Male,6 years,Pit Bull Mix,Brown Brindle/White
A675162,Pequena,3/25/2014 12:41,Return_to_owner,,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Torbie
A710969,Dax,9/9/2015 15:23,Return_to_owner,,Dog,Neutered Male,6 years,Dachshund/Bull Terrier,Brown
A624128,Kitty Kitty,5/5/2015 13:52,Transfer,Partner,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Orange Tabby
A717681,,12/16/2015 19:40,Transfer,SCRP,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby
A598610,Ellie,12/7/2013 15:40,Adoption,,Dog,Spayed Female,3 years,Australian Kelpie Mix,Black Brindle
A703207,Toffee,9/8/2015 16:12,Adoption,,Dog,Spayed Female,2 years,German Shepherd Mix,Sable
A664460,,10/5/2013 12:36,Transfer,Partner,Dog,Intact Male,15 years,Dachshund Mix,Brown
A715778,Sugar,11/16/2015 14:16,Transfer,Partner,Cat,Spayed Female,1 year,Siamese Mix,Tortie Point/Lynx Point
A652148,Rocky,8/1/2015 12:59,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Shorthair,Orange Tabby/White
A664238,,10/1/2013 16:47,Euthanasia,Medical,Cat,Unknown,4 months,American Shorthair Mix,Black/White
A680703,,6/6/2014 14:39,Transfer,Partner,Cat,Intact Female,1 weeks,Domestic Shorthair Mix,Calico
A709491,Bambi,8/20/2015 17:25,Adoption,,Dog,Spayed Female,5 months,Pit Bull Mix,Fawn
A665427,,10/20/2013 13:37,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue
A703769,Loki,5/30/2015 18:26,Return_to_owner,,Dog,Neutered Male,2 years,German Shepherd Mix,Tricolor
A677811,Raven,5/16/2014 13:02,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A682522,Pixie,7/22/2014 18:02,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
A692294,,11/18/2014 15:33,Transfer,Partner,Dog,Intact Male,1 month,Chihuahua Shorthair Mix,Brown Brindle/Black
A689172,,9/30/2014 15:49,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby
A704507,,6/9/2015 18:35,Adoption,,Dog,Neutered Male,10 months,Miniature Schnauzer Mix,Black/Buff
A665277,Coco,10/19/2013 17:37,Adoption,,Dog,Spayed Female,1 month,Rat Terrier Mix,Tricolor
A696688,Mari,11/3/2015 12:24,Adoption,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico/White
A668537,Eedo,12/9/2013 17:01,Transfer,Partner,Dog,Neutered Male,1 year,Miniature Pinscher Mix,Black/Tan
A719180,Nobbs,1/18/2016 18:11,Adoption,,Dog,Neutered Male,7 months,Cardigan Welsh Corgi Mix,White/Black
A701145,,4/25/2015 9:00,Transfer,SCRP,Cat,Neutered Male,7 years,Domestic Medium Hair,Black/White
A675076,Max,5/10/2014 12:20,Adoption,,Dog,Neutered Male,5 years,Rottweiler Mix,Black/Tan
A670686,Jules,1/18/2014 12:41,Return_to_owner,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Black
A712447,Mj,10/2/2015 18:04,Adoption,,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Tan/White
A709748,,8/24/2015 11:23,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,White
A660633,Willow,11/3/2014 11:52,Return_to_owner,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie
A704382,Sky,8/9/2015 14:59,Adoption,,Dog,Spayed Female,2 years,Pit Bull/Boxer,Blue/White
A711799,,9/12/2015 14:28,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby
A690875,Domino,11/8/2014 14:24,Transfer,Partner,Dog,Spayed Female,6 months,Labrador Retriever/Border Collie,Black/White
A720699,Harvey Dent,2/21/2016 14:56,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,White/Brown Brindle
A659671,Carter,10/10/2013 17:49,Return_to_owner,,Dog,Neutered Male,1 year,Redbone Hound Mix,Red
A689295,Shakespeare,10/8/2014 14:17,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White
A676272,,6/1/2014 16:09,Adoption,Offsite,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Blue
A700942,,4/21/2015 18:10,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,White/Black
A704786,Pickles,7/30/2015 11:03,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
A657732,Bella,5/3/2014 18:33,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tricolor
A689773,Lucy,10/10/2014 18:32,Adoption,,Dog,Spayed Female,2 months,Beagle Mix,White/Orange
A716390,Bullet,11/29/2015 14:27,Return_to_owner,,Dog,Intact Male,5 months,Bull Terrier,Brown Brindle/White
A706292,Rusty,7/8/2015 15:19,Transfer,Partner,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Brown/White
A704607,Midnight,6/7/2015 14:58,Return_to_owner,,Dog,Spayed Female,15 years,Pembroke Welsh Corgi Mix,Black
A661608,Molly,5/30/2015 11:01,Return_to_owner,,Dog,Spayed Female,2 years,Jack Russell Terrier,Tricolor
A694229,Pete,12/27/2014 13:38,Return_to_owner,,Dog,Neutered Male,1 year,Dachshund,Black/Brown
A685370,Dixon,8/11/2014 18:30,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White
A719518,Batman,1/26/2016 17:21,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Black Tabby
A660979,Mia,9/23/2015 16:45,Transfer,Partner,Dog,Spayed Female,4 years,Toy Poodle/Maltese,White
A670251,,1/5/2014 19:28,Transfer,SCRP,Cat,Spayed Female,10 months,Domestic Shorthair Mix,Brown Tabby
A690816,Chrissie,11/25/2014 18:54,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
A699217,Joey,3/28/2015 13:11,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A711514,Dakota,10/17/2015 0:00,Adoption,Foster,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Blue Merle/White
A717544,,12/14/2015 19:33,Transfer,SCRP,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black/White
A663135,Max,10/17/2013 9:05,Adoption,Foster,Dog,Neutered Male,5 years,German Shepherd Mix,Brown/Black
A702673,Rocko,5/21/2015 17:03,Adoption,,Dog,Neutered Male,2 months,Australian Cattle Dog Mix,Brown Merle
A615299,Buddy,6/28/2014 16:53,Adoption,,Dog,Neutered Male,4 years,Bullmastiff Mix,Brown/White
A676330,Bella,9/17/2014 17:31,Adoption,Foster,Dog,Spayed Female,6 months,Smooth Fox Terrier Mix,Tan
A715435,,11/7/2015 18:46,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever Mix,White/Brown
A703886,,6/11/2015 16:28,Transfer,Partner,Dog,Spayed Female,2 months,German Shepherd Mix,Brown/Black
A702355,,5/25/2015 14:13,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Calico Point
A695421,Percy,1/26/2015 14:55,Transfer,Barn,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Black
A668094,Savannah,1/18/2014 12:42,Transfer,Partner,Dog,Spayed Female,2 years,Pit Bull Mix,Black Brindle/White
A702219,Daphnie,5/12/2015 18:19,Return_to_owner,,Dog,Spayed Female,12 years,Yorkshire Terrier Mix,Tan/Gray
A718558,Rocko,1/4/2016 15:39,Return_to_owner,,Dog,Neutered Male,8 years,Lhasa Apso Mix,Black/White
A689461,Walker,10/26/2014 12:18,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
A689417,Franky,10/16/2014 11:21,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
A381173,Pepper,8/6/2014 17:12,Return_to_owner,,Dog,Spayed Female,14 years,Labrador Retriever Mix,Brown/White
A671681,,1/30/2014 13:14,Transfer,SCRP,Cat,Unknown,2 years,Domestic Longhair Mix,Black/White
A717485,,12/23/2015 18:53,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Torbie/White
A682194,Shimi,6/26/2014 9:33,Return_to_owner,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Calico
A712523,,9/24/2015 18:24,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black
A672179,Spike,2/7/2014 17:31,Return_to_owner,,Dog,Neutered Male,2 years,Catahoula Mix,Blue Merle/Brown
A687539,Eponine,10/21/2014 8:35,Adoption,Foster,Cat,Spayed Female,2 months,Siamese Mix,Lynx Point
A667726,,11/25/2013 17:53,Adoption,,Dog,Neutered Male,3 months,Labrador Retriever Mix,Black/White
A680459,Blynken,7/13/2014 17:05,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A708822,Jack,8/3/2015 11:25,Transfer,Partner,Dog,Intact Male,4 years,Shih Tzu/Maltese,White/Blue
A693633,Shadow,12/16/2014 17:09,Return_to_owner,,Dog,Neutered Male,1 year,Scottish Terrier/Miniature Poodle,Black/White
A673847,Steamer,3/9/2014 11:42,Transfer,Partner,Dog,Neutered Male,12 years,Cocker Spaniel Mix,Black/Brown
A712880,Jonse,1/11/2016 14:44,Return_to_owner,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Orange Tabby
A679941,,6/5/2014 14:17,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Red/White
A689633,,10/9/2014 9:00,Transfer,SCRP,Cat,Unknown,4 months,Domestic Shorthair Mix,Blue
A719100,Max,1/17/2016 17:08,Return_to_owner,,Dog,Neutered Male,10 months,Anatol Shepherd Mix,Tan/Black
A686405,,8/21/2014 14:15,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Orange Tabby/White
A669144,Russell,12/24/2013 12:55,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Longhair Mix,Blue Tabby
A662398,Buddy,11/1/2013 15:23,Adoption,,Dog,Neutered Male,2 years,American Pit Bull Terrier Mix,Tan/White
A691456,Willy,12/23/2014 8:42,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Blue Tabby/White
A705702,Tiger,6/21/2015 9:00,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
A696760,Chance,2/11/2015 16:55,Euthanasia,Suffering,Dog,Neutered Male,3 years,Labrador Retriever Mix,Black/White
A676987,Skyler,6/16/2015 15:02,Adoption,,Dog,Spayed Female,1 year,German Shepherd/Labrador Retriever,Black Brindle/White
A693553,Darrell,12/14/2014 16:29,Transfer,Partner,Dog,Neutered Male,4 years,Pug Mix,Fawn
A670356,Siren,1/11/2014 18:07,Adoption,,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Brown/Tan
A710801,,9/4/2015 19:07,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A669918,,1/3/2014 17:47,Adoption,,Dog,Spayed Female,3 months,Labrador Retriever Mix,Tan/White
A680773,,6/7/2014 17:15,Transfer,Partner,Dog,Unknown,2 days,Dachshund Mix,Black
A717560,Milo,1/29/2016 15:50,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby
A705708,,7/8/2015 16:57,Return_to_owner,,Cat,Intact Female,2 years,Domestic Longhair Mix,Torbie
A715218,Tyra,11/17/2015 0:00,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie
A698184,Dolley,5/29/2015 15:37,Transfer,Partner,Dog,Spayed Female,3 years,Pit Bull Mix,Blue/White
A696479,Chocolate,2/15/2015 11:39,Adoption,,Cat,Neutered Male,1 year,Domestic Medium Hair Mix,Black
A715618,,11/10/2015 0:00,Transfer,Partner,Dog,Intact Male,2 years,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan
A696866,Jewel,2/21/2015 16:49,Adoption,Offsite,Dog,Spayed Female,5 years,Maltese Mix,White
A588258,Diamond,1/2/2016 12:34,Adoption,Foster,Dog,Spayed Female,8 years,German Shepherd Mix,Black/Tan
A669845,Smokey,1/9/2014 17:18,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
A718473,Tator Tots,1/5/2016 13:20,Transfer,Partner,Cat,Neutered Male,5 years,Siamese Mix,Seal Point
A689355,Watson,10/12/2014 18:00,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black
A703464,,5/25/2015 10:32,Euthanasia,Suffering,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Brown Tabby
A710367,Lasienaga,8/30/2015 13:57,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
A704361,Nala,7/9/2015 17:40,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Torbie
A702052,,5/9/2015 9:00,Transfer,SCRP,Cat,Unknown,2 months,Domestic Medium Hair Mix,Black/White
A711241,Nigel,10/15/2015 18:07,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby
A649865,Ruffles,1/30/2014 15:28,Return_to_owner,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan
A706342,Lois,7/18/2015 16:08,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown/White
A708139,Swoberdie,8/2/2015 11:40,Return_to_owner,,Dog,Neutered Male,7 years,Labrador Retriever Mix,Black
A700748,,4/20/2015 14:21,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A703226,Princess,5/31/2015 17:01,Return_to_owner,,Dog,Spayed Female,2 years,Dachshund Mix,Brown
A681025,Simone,6/20/2014 16:16,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Red/White
A707249,Hunter,7/28/2015 14:15,Transfer,Partner,Dog,Intact Male,7 years,German Shepherd,Sable
A710621,Gabby,10/16/2015 12:38,Adoption,Foster,Cat,Spayed Female,2 months,Manx Mix,Brown Tabby/White
A692000,Addy,12/3/2014 17:53,Adoption,,Dog,Spayed Female,9 months,Labrador Retriever Mix,Tan
A716162,Joker,11/16/2015 17:37,Return_to_owner,,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,Black/Brown
A563302,Cypress,10/31/2015 14:57,Return_to_owner,,Dog,Neutered Male,6 years,Labrador Retriever,Buff
A712549,Beau,10/14/2015 18:31,Adoption,,Dog,Neutered Male,2 years,Beauceron Mix,Black/Tan
A666512,Puffball,12/7/2013 18:54,Adoption,,Cat,Neutered Male,8 years,Domestic Medium Hair Mix,Black
A705271,,6/17/2015 12:45,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Black/White
A694917,Alphonse,2/2/2015 14:41,Transfer,Partner,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
A700011,,4/6/2015 14:45,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Medium Hair Mix,Blue Tabby
A629077,Queenie,9/18/2015 18:14,Return_to_owner,,Dog,Spayed Female,7 years,Pit Bull Mix,White/Brown
A720940,Justin,2/19/2016 17:28,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White
A677816,Arty,5/2/2014 16:25,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby/White
A689274,Giblet,12/2/2014 7:40,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
A671142,Francie,2/1/2014 15:14,Adoption,,Dog,Spayed Female,2 years,Beagle/Labrador Retriever,Brown/White
A682649,Princess,7/1/2014 18:17,Return_to_owner,,Dog,Intact Female,4 months,American Pit Bull Terrier/Chinese Sharpei,Fawn/White
A698639,,3/16/2015 9:00,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Longhair Mix,Blue
A681352,Charlotte,7/12/2014 19:46,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby
A665782,,11/2/2013 11:41,Transfer,Partner,Dog,Spayed Female,4 months,Pit Bull Mix,Tricolor
A685672,Honey,8/20/2014 18:42,Return_to_owner,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan
A713401,Larry,12/14/2015 17:40,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
A674481,Gracie,3/13/2014 16:30,Return_to_owner,,Dog,Spayed Female,4 years,Dachshund Mix,Red Merle/White
A704665,,6/7/2015 19:43,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Orange Tabby
A719276,Posh,1/18/2016 19:48,Return_to_owner,,Dog,Spayed Female,16 years,Pekingese,White
A707482,,7/18/2015 13:11,Transfer,Partner,Dog,Spayed Female,4 months,Dachshund Mix,Brown
A690833,Marmalade,10/28/2014 15:58,Euthanasia,Suffering,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,White/Orange Tabby
A681156,,6/17/2014 17:40,Adoption,,Dog,Neutered Male,3 months,Chihuahua Shorthair/Dachshund,Tan/White
A673571,,2/26/2014 16:14,Euthanasia,Suffering,Dog,Intact Male,2 years,Cardigan Welsh Corgi Mix,Black/White
A718609,Cierra,1/13/2016 13:12,Transfer,Partner,Dog,Intact Female,6 years,Chihuahua Shorthair Mix,White/Tan
A702075,Rocky,12/15/2015 16:36,Adoption,Foster,Dog,Neutered Male,11 years,Rottweiler/Rhod Ridgeback,Brown/White
A687517,,9/18/2014 14:54,Transfer,Partner,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Tortie
A702178,Bailey,5/15/2015 17:29,Adoption,,Dog,Spayed Female,2 years,Australian Shepherd Mix,Black/Tricolor
A716493,Missy,11/22/2015 16:33,Return_to_owner,,Dog,Spayed Female,9 years,Dachshund Mix,White/Brown
A702230,,5/12/2015 9:00,Transfer,SCRP,Cat,Intact Male,2 years,Siamese Mix,Seal Point
A681489,Juni,6/24/2014 16:27,Adoption,,Dog,Spayed Female,3 years,Doberman Pinsch,Black/Brown
A690977,Willie,10/23/2015 11:51,Adoption,,Dog,Neutered Male,2 years,Pekingese Mix,Tan/White
A676021,,4/3/2014 15:47,Transfer,Partner,Cat,Intact Female,3 days,Domestic Shorthair Mix,Black Tabby
A701124,Charlie,5/5/2015 17:37,Return_to_owner,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,White
A619636,Boomer,11/29/2014 18:23,Adoption,,Dog,Neutered Male,3 years,Old English Bulldog Mix,White/Brown Brindle
A703329,Persimmon,7/19/2015 18:18,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,White/Brown Tabby
A675146,Desmo,3/28/2014 18:28,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby
A681981,Lucy,6/28/2014 19:04,Adoption,,Dog,Spayed Female,2 years,Ibizan Hound Mix,Tan/White
A616489,Lola,10/16/2014 18:47,Return_to_owner,,Dog,Spayed Female,3 years,Beagle Mix,Tan/White
A634858,Maggie,4/3/2015 16:27,Adoption,,Dog,Spayed Female,3 years,Yorkshire Terrier Mix,Black/Brown
A687010,,8/30/2014 12:59,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Orange Tabby
A667185,Arya,12/22/2013 14:58,Adoption,,Dog,Spayed Female,2 years,Boston Terrier Mix,Black Brindle/White
A677516,,4/26/2014 11:33,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue
A700632,,4/17/2015 18:26,Return_to_owner,,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,Black/White
A719538,Marisella,1/28/2016 11:37,Died,In Foster,Cat,Intact Female,6 days,Domestic Longhair Mix,Calico
A666043,Dirk,3/4/2014 14:46,Adoption,Foster,Cat,Neutered Male,1 year,Domestic Shorthair,Black
A686942,,9/2/2014 16:22,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A692882,Zippy,11/29/2014 9:00,Transfer,SCRP,Cat,Neutered Male,6 years,Domestic Longhair Mix,Orange Tabby/White
A685298,Mia,1/18/2015 17:29,Adoption,Foster,Cat,Spayed Female,1 year,Siamese Mix,Lynx Point
A718145,Archie,12/31/2015 15:09,Return_to_owner,,Dog,Neutered Male,4 years,Labrador Retriever Mix,Tricolor
A694292,Susan,1/9/2015 13:27,Transfer,Partner,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
A683670,Kylie,7/18/2014 14:53,Adoption,,Dog,Spayed Female,6 months,Dachshund/Whippet,Red/White
A702443,,5/19/2015 12:39,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
A718264,Maya,12/28/2015 15:15,Return_to_owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Red
A690777,Cookie,10/26/2014 15:37,Return_to_owner,,Dog,Neutered Male,2 years,Rat Terrier Mix,Tan/White
A680538,Blu,7/20/2014 18:46,Adoption,Foster,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue Tabby
