,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,hour,day,month
9691,Cat,Neutered Male,120.0,Domestic Shorthair Mix,Black,14,1,6
9692,Cat,Intact Female,28.0,Siamese Mix,Lynx Point,15,2,10
9693,Cat,Spayed Female,730.0,Domestic Longhair Mix,Black,15,5,9
9694,Dog,Neutered Male,365.0,German Shepherd/Labrador Retriever,Brown/Black,11,0,2
9695,Cat,Spayed Female,730.0,Domestic Shorthair Mix,Calico,16,5,8
9696,Dog,Intact Female,730.0,Chihuahua Shorthair Mix,Tan,17,0,10
9697,Cat,Neutered Male,120.0,Domestic Shorthair Mix,Blue/White,13,2,12
9698,Cat,Unknown,1.0,Domestic Shorthair Mix,Brown Tabby,13,6,4
9699,Dog,Neutered Male,5110.0,Labrador Retriever/Pointer,White/Black,16,2,10
9700,Cat,Spayed Female,90.0,Domestic Shorthair Mix,Black,11,3,1
9701,Dog,Neutered Male,1460.0,Pit Bull/Mastiff,Brown,15,5,9
9702,Dog,Spayed Female,1825.0,Boxer Mix,Brown/White,13,2,1
9703,Cat,Intact Female,60.0,Domestic Shorthair Mix,Tortie,13,0,6
9704,Dog,Intact Female,1095.0,Rat Terrier Mix,White/Brown,17,0,9
9705,Cat,Neutered Male,2190.0,Domestic Medium Hair Mix,Orange Tabby/White,13,1,6
9706,Dog,Intact Female,1095.0,Pit Bull Mix,Blue/White,16,3,10
9707,Dog,Neutered Male,730.0,Staffordshire,Fawn/White,15,6,9
9708,Dog,Neutered Male,365.0,Dachshund Mix,Red,12,5,6
9709,Cat,Neutered Male,365.0,Domestic Shorthair Mix,Torbie,16,1,2
9710,Dog,Intact Male,30.0,German Shepherd Mix,Black/Tan,18,1,11
9711,Dog,Spayed Female,730.0,Australian Kelpie/Blue Lacy,Blue,17,3,12
9712,Dog,Intact Male,1460.0,Boxer,Brown Brindle/White,11,2,4
9713,Dog,Spayed Female,365.0,Chihuahua Shorthair Mix,Black/White,13,0,7
9714,Dog,Neutered Male,1460.0,Chihuahua Shorthair Mix,Brown/White,15,3,5
9715,Dog,Neutered Male,60.0,Chihuahua Shorthair Mix,Tan/White,17,1,10
9716,Cat,Spayed Female,1825.0,Siamese Mix,Calico Point,12,2,11
9717,Cat,Neutered Male,90.0,Domestic Shorthair Mix,Black/White,17,0,11
9718,Cat,Spayed Female,30.0,Domestic Shorthair Mix,Black/White,17,2,7
9719,Dog,Neutered Male,365.0,Maltese Mix,White,17,6,3
9720,Dog,Neutered Male,365.0,Boxer Mix,White/Black,0,5,10
9721,Dog,Spayed Female,240.0,Australian Kelpie/Australian Shepherd,Brown/Black,16,6,5
9722,Cat,Spayed Female,730.0,Domestic Shorthair Mix,Brown Tabby/White,14,0,12
9723,Cat,Spayed Female,365.0,Domestic Shorthair Mix,Black/White,17,1,4
9724,Dog,Neutered Male,365.0,Chihuahua Shorthair,Fawn/White,14,4,11
9725,Dog,Spayed Female,2190.0,Dachshund Mix,Brown,16,6,11
9726,Cat,Spayed Female,150.0,Domestic Shorthair Mix,Black,14,0,1
9727,Dog,Neutered Male,730.0,Australian Cattle Dog Mix,Red/White,12,5,10
9728,Cat,Intact Female,365.0,Domestic Shorthair Mix,Brown Tabby,12,0,12
9729,Cat,Neutered Male,365.0,Domestic Shorthair Mix,Brown Tabby,18,0,8
9730,Dog,Intact Female,7.0,Chihuahua Shorthair Mix,Black/Tan,11,4,8
9731,Dog,Neutered Male,240.0,Chihuahua Shorthair Mix,Brown/Black,17,5,3
9732,Dog,Neutered Male,730.0,Pit Bull Mix,Blue/White,16,3,1
9733,Dog,Spayed Female,1095.0,Shih Tzu Mix,Black,18,6,11
9734,Cat,Neutered Male,2555.0,Domestic Shorthair Mix,Black/White,12,2,11
9735,Dog,Spayed Female,365.0,Chihuahua Shorthair Mix,White/Brown,17,1,1
9736,Cat,Unknown,2.0,Domestic Shorthair Mix,Brown Tabby,18,3,6
9737,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Black/White,11,4,11
9738,Dog,Spayed Female,365.0,Chihuahua Shorthair,Tan,11,6,1
9739,Cat,Intact Female,30.0,Domestic Shorthair Mix,Brown Tabby,14,2,7
9740,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Black,18,0,2
9741,Dog,Intact Female,730.0,Staffordshire Mix,Gold/White,14,6,3
9742,Cat,Spayed Female,365.0,Domestic Shorthair Mix,Calico,18,0,4
9743,Cat,Neutered Male,730.0,Domestic Medium Hair Mix,Black/White,16,1,1
9744,Cat,Intact Female,30.0,Domestic Shorthair Mix,Calico,17,6,8
9745,Dog,Neutered Male,365.0,Cairn Terrier/Chihuahua Shorthair,Brown/White,19,6,10
9746,Cat,Neutered Male,1825.0,Domestic Longhair/Persian,White/Black,19,0,11
9747,Cat,Neutered Male,1460.0,Domestic Medium Hair Mix,Blue,17,3,8
9748,Dog,Neutered Male,3650.0,Labrador Retriever Mix,Yellow,16,6,10
9749,Cat,Spayed Female,240.0,Domestic Shorthair Mix,Black/White,13,1,4
9750,Dog,Neutered Male,60.0,Labrador Retriever/Pit Bull,Brown Brindle/White,18,1,12
9751,Dog,Neutered Male,1095.0,Miniature Poodle Mix,White,17,0,1
9752,Dog,Neutered Male,30.0,Dachshund/Chihuahua Shorthair,Tricolor,18,2,2
9753,Dog,Spayed Female,3650.0,Miniature Poodle Mix,Black,17,1,2
9754,Cat,Intact Male,21.0,Domestic Shorthair Mix,Blue,14,2,5
9755,Dog,Neutered Male,730.0,Dachshund Mix,Brown/White,11,4,11
9756,Dog,Neutered Male,730.0,Soft Coated Wheaten Terrier Mix,Black/White,15,0,9
9757,Dog,Neutered Male,365.0,Labrador Retriever/Great Pyrenees,Yellow,18,1,7
9758,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Tortie,19,6,11
9759,Cat,Intact Male,730.0,Domestic Shorthair Mix,White/Blue,15,1,12
9760,Cat,Unknown,30.0,Domestic Shorthair Mix,Brown Tabby,14,1,6
9761,Dog,Spayed Female,730.0,Doberman Pinsch,Fawn,14,4,1
9762,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Blue,11,5,9
9763,Cat,Intact Female,21.0,Domestic Shorthair Mix,Brown Tabby,12,6,9
9764,Dog,Spayed Female,365.0,Pit Bull Mix,White,15,4,11
9765,Cat,Neutered Male,730.0,Domestic Shorthair Mix,Brown Tabby,16,1,9
9766,Dog,Spayed Female,1460.0,Jindo Mix,Tan/White,0,0,11
9767,Cat,Spayed Female,730.0,Domestic Shorthair Mix,Brown Tabby,12,5,1
9768,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Blue Tabby/White,17,0,9
9769,Dog,Spayed Female,365.0,Australian Cattle Dog Mix,Tricolor,12,2,11
9770,Cat,Neutered Male,150.0,Domestic Shorthair Mix,Brown Tabby,13,3,1
9771,Dog,Spayed Female,60.0,Collie Smooth Mix,White/Black,0,5,11
9772,Cat,Spayed Female,330.0,Domestic Shorthair Mix,Orange Tabby,19,6,7
9773,Cat,Unknown,14.0,Snowshoe Mix,Lynx Point,12,1,7
9774,Dog,Spayed Female,60.0,Soft Coated Wheaten Terrier Mix,Buff,17,0,2
9775,Dog,Neutered Male,300.0,Belgian Malinois Mix,Brown/Black,17,0,12
9776,Dog,Spayed Female,1095.0,American Staffordshire Terrier Mix,Black/White,16,6,12
9777,Cat,Neutered Male,120.0,Domestic Shorthair Mix,Black,18,5,12
9778,Cat,Unknown,90.0,Domestic Shorthair Mix,Black,9,5,3
9779,Dog,Neutered Male,730.0,American Staffordshire Terrier Mix,Brown Brindle/White,16,2,4
9780,Dog,Neutered Male,730.0,American Pit Bull Terrier Mix,Blue/White,15,6,11
9781,Cat,Unknown,270.0,Domestic Shorthair Mix,Black/White,9,5,7
9782,Dog,Neutered Male,730.0,Chihuahua Shorthair Mix,Black/White,19,6,5
9783,Dog,Neutered Male,730.0,Dachshund Mix,Blue/White,18,0,3
9784,Dog,Intact Female,180.0,Pit Bull Mix,Black/White,12,5,12
9785,Dog,Spayed Female,1460.0,Siberian Husky Mix,Red/White,18,0,8
9786,Cat,Intact Female,730.0,Domestic Shorthair Mix,Calico,15,0,9
9787,Dog,Neutered Male,730.0,Chihuahua Shorthair/Miniature Pinscher,Yellow/White,10,5,6
9788,Cat,Intact Male,730.0,Domestic Longhair Mix,Orange Tabby/White,19,6,11
9789,Cat,Neutered Male,330.0,Siamese/Domestic Shorthair,Black,12,1,12
9790,Cat,Unknown,21.0,Domestic Shorthair Mix,Black,14,5,5
9791,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Brown Tabby,18,4,9
9792,Dog,Spayed Female,365.0,Australian Shepherd,Blue Merle/Tricolor,10,1,2
9793,Dog,Neutered Male,2920.0,Yorkshire Terrier,Black/Tan,17,1,10
9794,Dog,Intact Female,60.0,Pit Bull Mix,Brown/White,13,4,1
9795,Dog,Spayed Female,365.0,Pomeranian Mix,Red,17,4,1
9796,Dog,Neutered Male,730.0,St. Bernard Smooth Coat Mix,Brown/White,11,4,7
9797,Cat,Intact Male,30.0,Domestic Shorthair Mix,Orange Tabby/White,11,0,7
9798,Cat,Spayed Female,60.0,Siamese Mix,Lynx Point,16,1,6
9799,Dog,Neutered Male,365.0,Labrador Retriever Mix,Black/White,18,0,10
9800,Cat,Spayed Female,60.0,Domestic Longhair Mix,Torbie,19,5,7
9801,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Black/White,15,6,7
9802,Dog,Neutered Male,730.0,Shih Tzu/Norfolk Terrier,Red/White,18,6,5
9803,Cat,Spayed Female,365.0,Domestic Medium Hair Mix,Blue Tabby/White,17,6,10
9804,Cat,Neutered Male,150.0,Domestic Shorthair Mix,Orange Tabby,14,5,8
9805,Cat,Neutered Male,150.0,Domestic Shorthair Mix,Black,11,3,3
9806,Cat,Spayed Female,150.0,Domestic Shorthair Mix,Blue Tabby,18,4,3
9807,Cat,Neutered Male,60.0,Siamese Mix,Seal Point,18,6,5
9808,Dog,Spayed Female,365.0,Australian Shepherd Mix,White,12,6,4
9809,Cat,Neutered Male,1825.0,Domestic Shorthair Mix,Orange Tabby,14,6,11
9810,Dog,Neutered Male,240.0,Labrador Retriever/Great Pyrenees,Brown/White,12,5,8
9811,Dog,Spayed Female,365.0,Pit Bull Mix,Brown/White,14,1,2
9812,Cat,Spayed Female,240.0,Domestic Longhair Mix,Black/White,19,5,2
9813,Dog,Neutered Male,90.0,Labrador Retriever Mix,Black/White,18,6,8
9814,Dog,Neutered Male,60.0,Bluetick Hound Mix,Black/White,18,5,5
9815,Cat,Spayed Female,2920.0,Domestic Shorthair Mix,Torbie,15,3,12
9816,Dog,Intact Male,730.0,Anatol Shepherd Mix,Tricolor,16,1,10
9817,Dog,Neutered Male,365.0,Pit Bull Mix,Blue Tiger/White,12,1,11
9818,Dog,Neutered Male,1460.0,Labrador Retriever/Rottweiler,Black,11,5,9
9819,Cat,Neutered Male,730.0,Domestic Shorthair Mix,Blue/White,15,4,7
9820,Dog,Neutered Male,365.0,Shih Tzu,Tan,8,3,6
9821,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Black,0,1,11
9822,Dog,Neutered Male,1460.0,Chihuahua Shorthair Mix,Tan,12,6,3
9823,Dog,Spayed Female,120.0,Labrador Retriever Mix,Red/White,12,4,11
9824,Dog,Spayed Female,730.0,Dachshund/Australian Cattle Dog,Brown Brindle/White,17,4,8
9825,Cat,Neutered Male,180.0,Domestic Shorthair Mix,Brown Tabby,18,6,10
9826,Cat,Intact Female,365.0,Domestic Shorthair Mix,Brown Tabby/White,9,1,7
9827,Dog,Spayed Female,1095.0,Chihuahua Shorthair Mix,White/Tan,13,0,2
9828,Dog,Neutered Male,1460.0,Cardigan Welsh Corgi Mix,Tricolor,8,2,12
9829,Cat,Intact Male,21.0,Domestic Shorthair Mix,Brown Tabby/White,17,6,4
9830,Cat,Intact Female,30.0,Domestic Shorthair Mix,Black/White,13,4,6
9831,Dog,Intact Male,730.0,Chihuahua Shorthair Mix,Blue/Tan,11,0,2
9832,Dog,Spayed Female,60.0,Rat Terrier/Miniature Poodle,White/Brown,18,6,2
9833,Dog,Neutered Male,90.0,Boxer Mix,Black Brindle/White,12,3,1
9834,Cat,Intact Male,28.0,Domestic Shorthair Mix,Cream,17,6,11
9835,Cat,Intact Male,7.0,Domestic Shorthair Mix,Orange Tabby/White,15,4,9
9836,Cat,Intact Male,30.0,Domestic Shorthair Mix,Black,16,2,11
9837,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Black,19,5,7
9838,Dog,Intact Male,7.0,Yorkshire Terrier Mix,Tan,15,4,2
9839,Cat,Neutered Male,60.0,Domestic Medium Hair Mix,Orange Tabby/White,17,1,12
9840,Dog,Spayed Female,210.0,Catahoula Mix,Brown,15,5,11
9841,Dog,Spayed Female,1825.0,Pit Bull Mix,Chocolate/White,12,0,9
9842,Dog,Spayed Female,730.0,English Bulldog Mix,White/Brown,11,2,9
9843,Cat,Unknown,7.0,Domestic Shorthair Mix,Orange Tabby/White,16,0,6
9844,Dog,Neutered Male,365.0,Chihuahua Shorthair Mix,Tricolor,19,1,10
9845,Cat,Intact Female,28.0,Domestic Longhair Mix,Black,15,5,10
9846,Dog,Neutered Male,2555.0,Jack Russell Terrier Mix,White/Brown,18,3,10
9847,Dog,Neutered Male,1460.0,Pug/Staffordshire,Fawn/Black,16,4,2
9848,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Blue Tabby/White,18,0,7
9849,Cat,Spayed Female,365.0,Domestic Shorthair Mix,Calico,11,3,10
9850,Cat,Intact Male,30.0,Domestic Shorthair Mix,Blue Tabby,16,5,7
9851,Dog,Neutered Male,1095.0,Beagle/Dachshund,Black/Tan,18,1,8
9852,Dog,Spayed Female,90.0,Border Collie Mix,Chocolate/White,12,1,8
9853,Dog,Spayed Female,1095.0,Pit Bull,Red/White,18,0,3
9854,Dog,Spayed Female,30.0,Golden Retriever Mix,Brown,12,5,10
9855,Dog,Spayed Female,1825.0,Beagle/Pug,Tan/Black,19,3,8
9856,Dog,Spayed Female,730.0,Pit Bull Mix,Black Brindle/White,17,0,11
9857,Dog,Neutered Male,365.0,Pit Bull Mix,Blue/White,12,1,11
9858,Dog,Spayed Female,365.0,Chihuahua Shorthair Mix,Chocolate/White,17,6,12
9859,Dog,Neutered Male,60.0,Norfolk Terrier Mix,White/Buff,17,6,6
9860,Cat,Spayed Female,90.0,Domestic Shorthair Mix,Brown Tabby,17,5,7
9861,Dog,Intact Female,3650.0,Chihuahua Shorthair Mix,Black/White,11,6,8
9862,Cat,Unknown,14.0,Domestic Shorthair Mix,Orange Tabby,14,6,6
9863,Dog,Intact Male,60.0,Chihuahua Shorthair Mix,Brown Merle,14,1,6
9864,Dog,Spayed Female,365.0,Catahoula Mix,Brown Brindle,15,5,9
9865,Dog,Neutered Male,6570.0,Labrador Retriever/Australian Cattle Dog,Chocolate/White,11,1,11
9866,Dog,Spayed Female,1825.0,Belgian Malinois/Australian Shepherd,Brown/Brown Merle,11,0,10
9867,Cat,Spayed Female,2920.0,Domestic Medium Hair Mix,Calico,11,4,7
9868,Dog,Neutered Male,3285.0,Pit Bull,Brown/White,19,4,12
9869,Dog,Neutered Male,30.0,German Shepherd/Boxer,Brown/Black,19,4,7
9870,Cat,Neutered Male,365.0,Domestic Shorthair Mix,Cream Tabby,13,4,3
9871,Dog,Intact Male,365.0,Chihuahua Shorthair Mix,Black,17,5,11
9872,Dog,Neutered Male,730.0,Pit Bull Mix,Chocolate/White,18,2,8
9873,Cat,Intact Male,28.0,Domestic Shorthair Mix,Brown Tabby/White,14,1,8
9874,Dog,Intact Female,300.0,German Shepherd Mix,Black/Brown,18,0,2
9875,Dog,Spayed Female,1095.0,Dachshund Mix,Black/Tan,17,3,7
9876,Cat,Intact Female,365.0,Domestic Shorthair Mix,Brown Tabby/White,9,2,11
9877,Dog,Intact Male,730.0,American Pit Bull Terrier Mix,Brown Brindle,0,2,10
9878,Dog,Intact Male,240.0,Pit Bull Mix,Black/White,15,5,4
9879,Dog,Neutered Male,365.0,Dachshund/Chihuahua Shorthair,Black/Tan,15,1,12
9880,Dog,Intact Male,1095.0,Lhasa Apso Mix,Gray/White,11,1,12
9881,Dog,Intact Male,2190.0,Yorkshire Terrier Mix,Sable,11,6,8
9882,Dog,Neutered Male,365.0,Maltese/Miniature Poodle,White/Gray,15,1,10
9883,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Brown Tabby/White,18,5,4
9884,Dog,Neutered Male,120.0,Collie Rough/Australian Cattle Dog,White/Brown,19,6,10
9885,Dog,Spayed Female,730.0,Cairn Terrier/Dachshund,Black/Tan,17,0,11
9886,Dog,Spayed Female,730.0,Cardigan Welsh Corgi Mix,Black/White,8,2,12
9887,Cat,Spayed Female,730.0,Domestic Shorthair Mix,Blue Tabby/White,19,1,1
9888,Dog,Spayed Female,60.0,Dachshund Longhair Mix,Black/Tan,18,3,7
9889,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Brown Tabby,20,5,7
9890,Cat,Spayed Female,1825.0,Domestic Longhair Mix,Cream Tabby,16,6,4
9891,Dog,Spayed Female,90.0,Chihuahua Shorthair Mix,White/Brown,18,5,5
9892,Dog,Spayed Female,730.0,Cairn Terrier Mix,Buff/White,14,0,11
9893,Dog,Intact Female,730.0,Cairn Terrier Mix,Tan/White,12,3,7
9894,Dog,Spayed Female,1460.0,Miniature Poodle Mix,White,14,4,3
9895,Dog,Intact Female,365.0,Chihuahua Shorthair Mix,Brown,12,2,8
9896,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Brown Tabby,16,5,7
9897,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Silver Tabby,16,2,8
9898,Cat,Spayed Female,60.0,Domestic Medium Hair Mix,Blue Tabby/White,13,5,11
9899,Cat,Spayed Female,180.0,Domestic Medium Hair Mix,Blue Tabby,9,4,10
9900,Dog,Neutered Male,2555.0,Doberman Pinsch,Chocolate,0,2,11
9901,Cat,Spayed Female,210.0,Domestic Shorthair Mix,Brown Tabby,14,1,11
9902,Dog,Spayed Female,90.0,Collie Smooth Mix,Brown Brindle/White,17,3,2
9903,Dog,Intact Female,5840.0,German Shepherd Mix,Black/Brown,19,0,11
9904,Dog,Neutered Male,365.0,Schipperke Mix,Black/White,15,0,1
9905,Dog,Neutered Male,1095.0,Chihuahua Shorthair Mix,Tricolor,13,0,5
9906,Dog,Spayed Female,180.0,Pit Bull Mix,Tan/White,11,0,9
9907,Cat,Spayed Female,60.0,Domestic Medium Hair Mix,Black,17,0,3
9908,Cat,Neutered Male,730.0,Domestic Shorthair Mix,Orange Tabby/White,12,0,3
9909,Dog,Neutered Male,1095.0,Pomeranian Mix,Tan/Buff,18,3,4
9910,Cat,Spayed Female,90.0,Domestic Shorthair,Black,13,3,12
9911,Dog,Neutered Male,2190.0,Labrador Retriever Mix,Tan,18,4,12
9912,Dog,Spayed Female,730.0,Pit Bull Mix,White,17,3,12
9913,Cat,Unknown,28.0,Domestic Shorthair Mix,Black,13,2,7
9914,Dog,Spayed Female,2190.0,Labrador Retriever Mix,Black/White,15,6,5
9915,Cat,Neutered Male,2190.0,Ocicat Mix,Chocolate,14,4,2
9916,Dog,Spayed Female,1095.0,Dachshund Mix,Red,17,1,9
9917,Dog,Neutered Male,3650.0,Parson Russell Terrier Mix,White/Brown,12,3,1
9918,Cat,Neutered Male,1460.0,Domestic Shorthair Mix,Cream Tabby,14,1,4
9919,Dog,Neutered Male,1095.0,Toy Poodle/Yorkshire Terrier,Tricolor,15,6,6
9920,Dog,Intact Female,180.0,Golden Retriever Mix,Tan,13,4,11
9921,Dog,Neutered Male,365.0,Australian Cattle Dog,Black/White,18,4,11
9922,Dog,Spayed Female,4380.0,Australian Shepherd Mix,Brown/White,18,4,12
9923,Dog,Spayed Female,730.0,American Pit Bull Terrier Mix,Brown/White,14,6,1
9924,Dog,Spayed Female,90.0,Pit Bull Mix,Brown Brindle/White,18,4,11
9925,Cat,Intact Male,14.0,Domestic Shorthair Mix,Black,13,6,11
9926,Cat,Intact Female,60.0,Domestic Medium Hair Mix,Brown Tabby,12,6,7
9927,Dog,Neutered Male,365.0,Miniature Poodle/Havanese,White,15,6,4
9928,Cat,Spayed Female,1095.0,Domestic Shorthair Mix,Torbie,15,2,11
9929,Cat,Spayed Female,120.0,Domestic Shorthair Mix,Brown Tabby,10,3,1
9930,Dog,Intact Male,30.0,Chihuahua Shorthair Mix,Brown,13,6,2
9931,Dog,Spayed Female,1825.0,Jack Russell Terrier Mix,White/Brown,16,1,5
9932,Dog,Spayed Female,210.0,Border Collie/Australian Shepherd,Black/White,17,6,12
9933,Dog,Neutered Male,1460.0,Labrador Retriever Mix,Black/White,17,5,4
9934,Dog,Intact Male,730.0,Pit Bull Mix,White,17,1,7
9935,Cat,Intact Female,2920.0,Domestic Shorthair Mix,Black/White,16,5,6
9936,Dog,Neutered Male,365.0,Pit Bull Mix,Brown/White,11,6,12
9937,Dog,Spayed Female,1460.0,Pit Bull Mix,Black,18,4,7
9938,Dog,Intact Female,730.0,Yorkshire Terrier Mix,Black/Tan,19,0,10
9939,Dog,Spayed Female,4380.0,Chihuahua Shorthair Mix,Chocolate,17,5,10
9940,Cat,Intact Male,28.0,Domestic Shorthair Mix,Black/White,8,2,7
9941,Cat,Intact Female,28.0,Domestic Shorthair Mix,Calico,18,4,8
9942,Cat,Intact Female,30.0,Domestic Shorthair Mix,Black,13,5,5
9943,Cat,Unknown,1.0,Domestic Shorthair Mix,Black/White,17,1,6
9944,Dog,Spayed Female,240.0,Siberian Husky Mix,Tricolor,16,4,4
9945,Cat,Spayed Female,120.0,Siamese Mix,Lynx Point,17,1,9
9946,Dog,Spayed Female,730.0,American Staffordshire Terrier Mix,Black/White,19,6,2
9947,Dog,Neutered Male,365.0,Chihuahua Shorthair Mix,Red,18,0,12
9948,Dog,Neutered Male,730.0,Pit Bull Mix,Blue/White,16,2,11
9949,Cat,Intact Female,35.0,Domestic Shorthair Mix,Brown Tabby,8,1,4
9950,Dog,Neutered Male,1095.0,Pit Bull Mix,White/Blue,14,5,4
9951,Dog,Spayed Female,1460.0,Australian Cattle Dog Mix,Blue Merle,16,2,6
9952,Dog,Neutered Male,730.0,Chihuahua Shorthair Mix,Brown/White,14,3,10
9953,Dog,Spayed Female,730.0,Pbgv Mix,White/Tan,15,5,8
9954,Cat,Unknown,150.0,Domestic Shorthair Mix,Black,12,0,11
9955,Dog,Spayed Female,365.0,Chihuahua Shorthair Mix,Black/Brown Brindle,15,0,12
9956,Dog,Spayed Female,300.0,Rat Terrier Mix,Black/Brown,14,6,7
9957,Dog,Neutered Male,365.0,German Shepherd Mix,Sable,17,1,8
9958,Dog,Neutered Male,300.0,Border Terrier,Black/Tan,18,5,4
9959,Dog,Neutered Male,730.0,Chihuahua Shorthair Mix,Tan,17,4,2
9960,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Black Smoke,17,2,12
9961,Cat,Unknown,730.0,Domestic Shorthair Mix,Orange Tabby/White,9,1,2
9962,Cat,Intact Male,30.0,Domestic Shorthair Mix,Brown Tabby/White,14,6,12
9963,Dog,Neutered Male,1825.0,Cairn Terrier Mix,Black/Gray,12,6,1
9964,Dog,Neutered Male,1095.0,Pit Bull Mix,Blue/White,14,4,7
9965,Cat,Neutered Male,4745.0,Russian Blue Mix,Blue,12,2,11
9966,Cat,Intact Female,21.0,Domestic Shorthair Mix,Brown Tabby,14,4,5
9967,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Black,19,5,7
9968,Dog,Neutered Male,730.0,German Shepherd,Black/Tan,18,5,1
9969,Dog,Neutered Male,730.0,Boxer Mix,White,14,0,2
9970,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Brown Tabby,16,6,8
9971,Dog,Neutered Male,90.0,German Shepherd Mix,Brown/Black,15,2,10
9972,Dog,Intact Female,30.0,Great Pyrenees,White,0,2,5
9973,Dog,Intact Female,7.0,Labrador Retriever Mix,Cream,18,2,10
9974,Dog,Spayed Female,365.0,Black Mouth Cur,Tan/White,18,4,10
9975,Cat,Neutered Male,5475.0,Maine Coon Mix,Brown Tabby,14,6,7
9976,Cat,Intact Male,730.0,Domestic Shorthair Mix,Black/White,9,2,10
9977,Dog,Spayed Female,270.0,Chihuahua Shorthair Mix,White/Black,18,1,11
9978,Dog,Neutered Male,1460.0,Chihuahua Shorthair Mix,Black/White,14,4,7
9979,Cat,Intact Female,365.0,Domestic Shorthair Mix,Brown Tabby/White,12,2,7
9980,Dog,Spayed Female,730.0,Labrador Retriever Mix,Black,17,6,12
9981,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Black/White,18,0,6
9982,Dog,Neutered Male,1095.0,Labrador Retriever Mix,Black,18,4,11
9983,Dog,Neutered Male,730.0,Chihuahua Shorthair Mix,Brown,17,0,7
9984,Cat,Spayed Female,150.0,Domestic Medium Hair Mix,Black/White,18,2,2
9985,Dog,Neutered Male,1825.0,Miniature Poodle Mix,Apricot,17,4,5
9986,Dog,Neutered Male,1095.0,Golden Retriever/Pembroke Welsh Corgi,Yellow,17,4,2
9987,Dog,Spayed Female,240.0,Norfolk Terrier Mix,Black/White,11,1,12
9988,Dog,Neutered Male,2555.0,Bulldog Mix,Red/White,11,4,4
9989,Cat,Unknown,730.0,Domestic Shorthair Mix,Orange/White,17,5,1
9990,Cat,Spayed Female,365.0,Domestic Medium Hair Mix,Orange Tabby/White,14,2,2
9991,Dog,Neutered Male,730.0,Beagle/American Staffordshire Terrier,White/Tricolor,17,5,10
9992,Cat,Spayed Female,90.0,Domestic Medium Hair Mix,Calico,9,2,1
9993,Dog,Spayed Female,2555.0,Rat Terrier,White/Tan,16,0,6
9994,Dog,Intact Female,730.0,Chihuahua Shorthair Mix,Brown,15,4,7
9995,Cat,Spayed Female,2555.0,Domestic Shorthair Mix,Torbie,17,5,11
9996,Dog,Spayed Female,90.0,Labrador Retriever Mix,Black/White,18,1,11
9997,Cat,Neutered Male,730.0,Domestic Shorthair Mix,Orange Tabby/White,11,3,4
9998,Dog,Spayed Female,5840.0,Pit Bull Mix,White/Brown,13,3,11
9999,Dog,Intact Male,730.0,Pug,Fawn/Black,17,4,1
10000,Cat,Intact Female,30.0,Domestic Shorthair Mix,Orange Tabby,17,0,6
10001,Dog,Intact Male,150.0,Yorkshire Terrier,Red/Black,13,0,8
10002,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Brown Tabby/White,18,6,8
10003,Dog,Neutered Male,1095.0,Miniature Poodle/Miniature Schnauzer,White,18,6,10
10004,Cat,Neutered Male,120.0,Domestic Shorthair Mix,Black,19,0,9
10005,Dog,Spayed Female,1460.0,Pug Mix,Brown/Black,16,3,5
10006,Dog,Intact Male,730.0,Pit Bull Mix,Chocolate/White,15,1,6
10007,Dog,Neutered Male,730.0,Labrador Retriever Mix,White/Brown,11,4,11
10008,Dog,Intact Female,120.0,Labrador Retriever/Border Collie,Black/White,12,1,9
10009,Dog,Intact Male,180.0,Catahoula Mix,White/Tan,11,3,10
10010,Dog,Intact Female,30.0,Chihuahua Shorthair Mix,Black/Brown,18,3,6
10011,Dog,Spayed Female,30.0,Labrador Retriever Mix,Black/Brown,17,5,2
10012,Dog,Neutered Male,1095.0,Pit Bull Mix,Fawn,13,4,11
10013,Cat,Neutered Male,240.0,Domestic Shorthair Mix,Brown Tabby,11,5,4
10014,Dog,Neutered Male,60.0,Labrador Retriever Mix,Tan/White,18,5,10
10015,Dog,Neutered Male,1825.0,Chihuahua Shorthair Mix,Black/Tan,14,3,3
10016,Dog,Neutered Male,365.0,Chihuahua Shorthair Mix,Tan,14,2,6
10017,Cat,Neutered Male,60.0,Domestic Shorthair Mix,Blue Tabby/White,17,5,11
