AnimalID,Name,Date,weekday,Month,Time (hour),,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A715732,Jess,"Friday, November 27, 2015",Friday,Nov,12:43:00 PM,12,Adoption,,Cat,Neutered Male,3 months,Domestic Medium Hair Mix,Orange/White
A701606,Luke,"Saturday, May 09, 2015",Saturday,May,5:25:00 PM,17,Adoption,,Dog,Neutered Male,1 year,Siberian Husky,Black/White
A634845,Winston,"Thursday, July 16, 2015",Thursday,Jul,6:22:00 PM,18,Adoption,,Dog,Neutered Male,3 years,Pit Bull Mix,Brown Brindle/White
A705361,,"Wednesday, June 17, 2015",Wednesday,Jun,9:00:00 AM,9,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby
A716381,Snowflake,"Friday, December 18, 2015",Friday,Dec,2:54:00 PM,14,Transfer,Partner,Dog,Intact Female,2 years,Great Pyrenees Mix,White
A665938,Maggie,"Monday, November 04, 2013",Monday,Nov,2:05:00 PM,14,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White
A679478,Ramona,"Saturday, June 21, 2014",Saturday,Jun,1:47:00 PM,13,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A671917,Elvis,"Saturday, February 15, 2014",Saturday,Feb,4:29:00 PM,16,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A712991,Laney,"Saturday, January 09, 2016",Saturday,Jan,6:22:00 PM,18,Adoption,Foster,Dog,Spayed Female,1 year,Finnish Spitz Mix,Black
A665909,Brutus,"Wednesday, October 30, 2013",Wednesday,Oct,2:40:00 PM,14,Adoption,,Dog,Neutered Male,1 year,Miniature Pinscher Mix,Black/Tan
A688863,Thayer,"Monday, March 30, 2015",Monday,Mar,6:11:00 PM,18,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,Black/White
A701504,,"Sunday, May 31, 2015",Sunday,May,3:03:00 PM,15,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Brown Tabby/White
A664629,,"Sunday, October 06, 2013",Sunday,Oct,3:45:00 PM,15,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Medium Hair Mix,Orange Tabby
A704670,Eloise,"Monday, July 20, 2015",Monday,Jul,6:41:00 PM,18,Adoption,Foster,Dog,Spayed Female,3 years,Dachshund Wirehair Mix,Black/Tan
A691357,Thomas,"Friday, November 07, 2014",Friday,Nov,1:33:00 PM,13,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby/White
A664181,,"Saturday, December 21, 2013",Saturday,Dec,2:42:00 PM,14,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Orange Tabby
A669709,Porkchop,"Thursday, December 26, 2013",Thursday,Dec,5:31:00 PM,17,Return_to_owner,,Dog,Intact Female,2 years,Australian Cattle Dog Mix,Blue Merle/White
A689294,Chalupa Btmn,"Sunday, October 05, 2014",Sunday,Oct,5:13:00 PM,17,Adoption,,Dog,Neutered Male,1 year,Dachshund Longhair/Cairn Terrier,Black/White
A659967,Madilion,"Saturday, October 12, 2013",Saturday,Oct,11:09:00 AM,11,Adoption,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Tortie
A691382,Chico,"Thursday, November 06, 2014",Thursday,Nov,2:01:00 PM,14,Adoption,,Dog,Neutered Male,10 years,Labrador Retriever,Black
A718151,,"Monday, January 04, 2016",Monday,Jan,1:05:00 PM,13,Transfer,Partner,Dog,Spayed Female,1 month,Boxer/Harrier,Tricolor
A690419,,"Saturday, October 25, 2014",Saturday,Oct,3:35:00 PM,15,Transfer,Partner,Dog,Neutered Male,4 years,Jack Russell Terrier,White/Tan
A710158,Morty,"Sunday, September 06, 2015",Sunday,Sep,3:13:00 PM,15,Transfer,Partner,Dog,Neutered Male,3 months,Labrador Retriever Mix,Brown/White
A712651,,"Wednesday, September 30, 2015",Wednesday,Sep,6:30:00 PM,18,Transfer,Partner,Dog,Spayed Female,4 years,Dachshund Mix,Blue Merle/Tan
A694309,,"Saturday, December 27, 2014",Saturday,Dec,12:11:00 PM,12,Transfer,Partner,Dog,Intact Female,2 days,Pit Bull Mix,Chocolate/White
A678569,Annie,"Wednesday, May 14, 2014",Wednesday,May,3:05:00 PM,15,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby/White
A689398,Buster,"Saturday, December 06, 2014",Saturday,Dec,5:02:00 PM,17,Adoption,,Dog,Neutered Male,2 years,American Bulldog Mix,Black/White
A672472,Bruce,"Saturday, March 01, 2014",Saturday,Mar,6:26:00 PM,18,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Brown Tabby
A718986,Remi,"Sunday, January 10, 2016",Sunday,Jan,4:42:00 PM,16,Return_to_owner,,Dog,Spayed Female,4 years,Labrador Retriever Mix,Red
A703506,Nala,"Monday, January 25, 2016",Monday,Jan,3:57:00 PM,15,Adoption,,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Brindle
A688543,Ernie,"Wednesday, September 24, 2014",Wednesday,Sep,2:59:00 PM,14,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
A719507,Chrissy,"Wednesday, January 27, 2016",Wednesday,Jan,1:39:00 PM,13,Transfer,Partner,Cat,Spayed Female,10 months,Domestic Shorthair Mix,Black
A706221,,"Saturday, June 27, 2015",Saturday,Jun,12:04:00 PM,12,Transfer,Partner,Cat,Intact Male,1 month,Domestic Longhair Mix,Black
A662378,Flower,"Saturday, December 28, 2013",Saturday,Dec,5:08:00 PM,17,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Blue Tabby
A673314,Faleas,"Friday, March 21, 2014",Friday,Mar,5:27:00 PM,17,Return_to_owner,,Dog,Spayed Female,7 years,Labrador Retriever/Pit Bull,Brown
A663954,Dozer,"Saturday, October 05, 2013",Saturday,Oct,5:21:00 PM,17,Return_to_owner,,Dog,Neutered Male,1 year,Pit Bull Mix,White/Brown
A713338,,"Tuesday, October 06, 2015",Tuesday,Oct,9:00:00 AM,9,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby
A698943,Bj,"Monday, March 23, 2015",Monday,Mar,5:24:00 PM,17,Adoption,,Dog,Neutered Male,1 year,Dachshund/Chihuahua Shorthair,Red
A697744,,"Tuesday, March 03, 2015",Tuesday,Mar,2:43:00 PM,14,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby
A659891,Rebel,"Sunday, August 16, 2015",Sunday,Aug,3:54:00 PM,15,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/White
A676781,Lady,"Sunday, April 20, 2014",Sunday,Apr,5:47:00 PM,17,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair/Jack Russell Terrier,Tan/White
A710435,,"Sunday, August 23, 2015",Sunday,Aug,5:51:00 PM,17,Euthanasia,Suffering,Cat,Neutered Male,12 years,Domestic Shorthair Mix,Brown Tabby
A680348,Sarita,"Thursday, June 05, 2014",Thursday,Jun,2:55:00 PM,14,Transfer,Partner,Cat,Intact Female,1 month,Domestic Medium Hair Mix,Orange Tabby
A684035,,"Friday, July 18, 2014",Friday,Jul,5:11:00 PM,17,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A666712,Fox,"Friday, November 15, 2013",Friday,Nov,3:18:00 PM,15,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby/White
A699598,,"Tuesday, March 31, 2015",Tuesday,Mar,9:00:00 AM,9,Transfer,SCRP,Cat,Unknown,5 months,Domestic Shorthair Mix,Brown Tabby/White
A666931,Andre,"Sunday, November 24, 2013",Sunday,Nov,6:19:00 PM,18,Transfer,Partner,Dog,Neutered Male,2 years,Pit Bull Mix,Black/White
A690676,Loba,"Tuesday, April 21, 2015",Tuesday,Apr,3:37:00 PM,15,Adoption,,Dog,Spayed Female,2 years,American Staffordshire Terrier Mix,Black/White
A666058,Robin Hood,"Sunday, November 03, 2013",Sunday,Nov,6:13:00 PM,18,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
A702079,,"Thursday, May 14, 2015",Thursday,May,7:09:00 PM,19,Euthanasia,Suffering,Dog,Intact Male,7 years,Carolina Dog Mix,Red
A670784,Lucky,"Thursday, October 23, 2014",Thursday,Oct,6:14:00 PM,18,Adoption,,Dog,Neutered Male,1 year,Siberian Husky Mix,Black/White
A672019,Diamond,"Monday, February 17, 2014",Monday,Feb,12:51:00 PM,12,Adoption,,Dog,Spayed Female,1 year,American Staffordshire Terrier Mix,Black/White
A675695,Kato,"Tuesday, April 01, 2014",Tuesday,Apr,6:01:00 PM,18,Return_to_owner,,Dog,Neutered Male,2 years,Siberian Husky Mix,White/Brown
A632870,Righteous,"Friday, March 21, 2014",Friday,Mar,7:09:00 PM,19,Return_to_owner,,Dog,Neutered Male,6 years,Maltese/Yorkshire,Cream
A702622,Charlie,"Saturday, May 23, 2015",Saturday,May,6:37:00 PM,18,Adoption,,Dog,Neutered Male,3 years,German Shepherd Mix,Red/Black
A676757,,"Monday, April 14, 2014",Monday,Apr,7:08:00 PM,19,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black
A676539,,"Wednesday, April 16, 2014",Wednesday,Apr,12:54:00 PM,12,Transfer,Partner,Dog,Intact Male,4 months,Catahoula/Plott Hound,Brown Brindle/White
A689529,,"Friday, October 10, 2014",Friday,Oct,11:24:00 AM,11,Transfer,Partner,Dog,Intact Male,3 months,Boxer Mix,Tan/White
A692687,,"Saturday, November 29, 2014",Saturday,Nov,6:52:00 PM,18,Adoption,,Dog,Spayed Female,11 months,Italian Greyhound Mix,Buff
A683662,,"Tuesday, July 15, 2014",Tuesday,Jul,9:00:00 AM,9,Transfer,SCRP,Cat,Intact Female,4 months,Domestic Shorthair Mix,Torbie/White
A710942,,"Wednesday, January 13, 2016",Wednesday,Jan,1:15:00 PM,13,Transfer,SCRP,Cat,Intact Male,10 months,Domestic Shorthair Mix,Brown Tabby/White
A715770,Junebug,"Monday, November 09, 2015",Monday,Nov,7:02:00 PM,19,Return_to_owner,,Dog,Spayed Female,9 years,Chihuahua Shorthair Mix,Black/Tan
A698119,,"Friday, March 06, 2015",Friday,Mar,9:50:00 AM,9,Transfer,Partner,Dog,Unknown,6 days,Labrador Retriever Mix,Brown
A697579,Carbon,"Sunday, July 26, 2015",Sunday,Jul,7:06:00 PM,19,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever/Jack Russell Terrier,Black/White
A705939,Cora,"Thursday, July 09, 2015",Thursday,Jul,6:44:00 PM,18,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black/White
A605170,Finley,"Friday, November 28, 2014",Friday,Nov,12:59:00 PM,12,Return_to_owner,,Cat,Neutered Male,3 years,Domestic Shorthair Mix,White
A717777,Duke,"Tuesday, December 15, 2015",Tuesday,Dec,6:04:00 PM,18,Return_to_owner,,Dog,Intact Male,6 months,Leonberger,Brown/Black
A717127,Diddy,"Saturday, December 19, 2015",Saturday,Dec,1:23:00 PM,13,Adoption,,Dog,Neutered Male,9 months,Boxer Mix,Brown/Black
A707175,Maverick,"Wednesday, August 19, 2015",Wednesday,Aug,4:47:00 PM,16,Transfer,Partner,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,White/Black
A706134,,"Monday, June 29, 2015",Monday,Jun,3:12:00 PM,15,Euthanasia,Suffering,Cat,Intact Female,1 month,Siamese Mix,Blue Point
A696993,Pee Wee,"Saturday, May 30, 2015",Saturday,May,5:25:00 PM,17,Adoption,Foster,Dog,Spayed Female,6 years,Miniature Poodle Mix,White
A563492,Sam,"Tuesday, March 10, 2015",Tuesday,Mar,8:26:00 AM,8,Adoption,Foster,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan
A717069,Lester,"Saturday, January 16, 2016",Saturday,Jan,4:53:00 PM,16,Adoption,,Dog,Neutered Male,2 years,Boxer/Labrador Retriever,Tan/White
A705353,,"Wednesday, June 17, 2015",Wednesday,Jun,12:03:00 PM,12,Transfer,Partner,Cat,Unknown,3 days,Domestic Shorthair Mix,Black
A713988,Dela,"Sunday, October 18, 2015",Sunday,Oct,5:34:00 PM,17,Return_to_owner,,Dog,Spayed Female,7 years,Dachshund Wirehair/Chihuahua Shorthair,Tan/White
A703925,,"Saturday, May 30, 2015",Saturday,May,2:52:00 PM,14,Transfer,Partner,Cat,Unknown,2 days,Domestic Shorthair Mix,White/Blue Tabby
A686785,Cameron,"Friday, September 05, 2014",Friday,Sep,2:00:00 PM,14,Transfer,Partner,Dog,Intact Male,2 years,Queensland Heeler Mix,Black/White
A688196,Max,"Tuesday, September 16, 2014",Tuesday,Sep,12:20:00 PM,12,Euthanasia,Suffering,Dog,Neutered Male,9 years,Jack Russell Terrier Mix,Chocolate/White
A673903,,"Tuesday, March 04, 2014",Tuesday,Mar,2:00:00 PM,14,Transfer,Partner,Dog,Intact Male,1 month,Cocker Spaniel Mix,White/Buff
A691191,Rampage,"Friday, November 07, 2014",Friday,Nov,9:17:00 AM,9,Return_to_owner,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown
A707324,Lilly,"Tuesday, August 18, 2015",Tuesday,Aug,2:45:00 PM,14,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby/Tan
A670895,Simon,"Wednesday, January 22, 2014",Wednesday,Jan,3:57:00 PM,15,Adoption,,Dog,Neutered Male,1 year,Skye Terrier/Miniature Poodle,White
A666479,Ava,"Monday, January 06, 2014",Monday,Jan,1:14:00 PM,13,Adoption,Offsite,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White/Orange
A689792,Talia,"Tuesday, November 18, 2014",Tuesday,Nov,1:29:00 PM,13,Transfer,Partner,Dog,Spayed Female,1 year,Black Mouth Cur Mix,Tan
A595363,Teacup,"Saturday, October 31, 2015",Saturday,Oct,4:34:00 PM,16,Adoption,,Dog,Spayed Female,5 years,Dachshund/Chihuahua Shorthair,Brown
A680111,Castro,"Tuesday, June 10, 2014",Tuesday,Jun,6:34:00 PM,18,Return_to_owner,,Dog,Neutered Male,4 years,Pit Bull Mix,Tan
A671399,Chomper Jr,"Tuesday, February 04, 2014",Tuesday,Feb,6:50:00 PM,18,Return_to_owner,,Dog,Neutered Male,3 years,Pit Bull Mix,White/Black
A719550,Iris,"Thursday, January 28, 2016",Thursday,Jan,3:01:00 PM,15,Adoption,,Dog,Spayed Female,9 months,German Shepherd Mix,Brown/Tan
A577832,Chopper,"Tuesday, May 06, 2014",Tuesday,May,11:40:00 AM,11,Return_to_owner,,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Orange Tabby/White
A657415,Perla,"Tuesday, October 15, 2013",Tuesday,Oct,6:29:00 PM,18,Return_to_owner,,Dog,Spayed Female,2 years,Bull Terrier Mix,White
A690961,,"Saturday, November 01, 2014",Saturday,Nov,6:30:00 PM,18,Adoption,,Dog,Spayed Female,2 months,German Shepherd/Catahoula,Tan/Black
A668772,Zeus,"Tuesday, December 10, 2013",Tuesday,Dec,6:41:00 PM,18,Adoption,,Dog,Neutered Male,6 months,German Shepherd Mix,Black/Tan
A693099,Max,"Friday, December 19, 2014",Friday,Dec,6:30:00 PM,18,Adoption,,Cat,Neutered Male,5 months,Domestic Medium Hair Mix,Brown Tabby
A707744,Music,"Saturday, July 25, 2015",Saturday,Jul,11:40:00 AM,11,Transfer,Partner,Dog,Intact Female,2 months,Great Pyrenees/Labrador Retriever,White
A704075,Dolly,"Monday, June 01, 2015",Monday,Jun,6:41:00 PM,18,Return_to_owner,,Dog,Spayed Female,1 year,Labrador Retriever/Great Pyrenees,White
A701605,Toothless,"Saturday, September 19, 2015",Saturday,Sep,3:06:00 PM,15,Adoption,Foster,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Black
A705383,London,"Saturday, June 20, 2015",Saturday,Jun,5:09:00 PM,17,Adoption,,Dog,Spayed Female,5 months,Cocker Spaniel/Chihuahua Longhair,Buff
A700383,Wolfie,"Friday, April 17, 2015",Friday,Apr,12:05:00 PM,12,Transfer,Partner,Dog,Neutered Male,2 years,Dachshund Mix,Red
A582082,Oliver,"Tuesday, April 22, 2014",Tuesday,Apr,3:27:00 PM,15,Return_to_owner,,Dog,Neutered Male,5 years,Dachshund/Manchester Terrier,Black/Tricolor
A683892,Panda,"Sunday, August 17, 2014",Sunday,Aug,11:11:00 AM,11,Adoption,,Dog,Spayed Female,7 months,Queensland Heeler/Border Collie,Black/White
A642922,Bullet,"Wednesday, December 04, 2013",Wednesday,Dec,11:58:00 AM,11,Return_to_owner,,Dog,Neutered Male,3 years,Blue Lacy/Great Dane,Tan/White
A720680,Tho,"Tuesday, February 16, 2016",Tuesday,Feb,10:48:00 AM,10,Died,In Kennel,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Tortie
A686565,,"Saturday, August 23, 2014",Saturday,Aug,4:37:00 PM,16,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black/White
A694639,Haze,"Thursday, January 01, 2015",Thursday,Jan,3:29:00 PM,15,Transfer,Partner,Dog,Intact Male,1 year,Pit Bull Mix,Brown/White
A661878,Tito,"Saturday, October 26, 2013",Saturday,Oct,10:32:00 AM,10,Adoption,Foster,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Tricolor
A713050,,"Friday, October 02, 2015",Friday,Oct,12:36:00 PM,12,Transfer,Partner,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Brown Tabby
A678092,,"Thursday, June 05, 2014",Thursday,Jun,5:12:00 PM,17,Adoption,,Cat,Spayed Female,1 month,Domestic Shorthair Mix,White/Orange Tabby
A674943,,"Thursday, March 20, 2014",Thursday,Mar,4:22:00 PM,16,Transfer,Partner,Cat,Intact Female,1 day,Domestic Shorthair Mix,Torbie
A674771,Lady Bug,"Tuesday, March 25, 2014",Tuesday,Mar,10:51:00 AM,10,Return_to_owner,,Dog,Intact Female,5 years,Chihuahua Shorthair Mix,Tricolor
A681773,Eddie,"Saturday, August 30, 2014",Saturday,Aug,4:49:00 PM,16,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Medium Hair Mix,White/Blue
A710168,,"Thursday, December 10, 2015",Thursday,Dec,11:55:00 AM,11,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby/White
A689998,Nene,"Sunday, October 26, 2014",Sunday,Oct,6:48:00 PM,18,Adoption,,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Brown Tabby
A681472,,"Tuesday, June 17, 2014",Tuesday,Jun,1:51:00 PM,13,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Tortie
A666845,Prince,"Friday, November 08, 2013",Friday,Nov,12:04:00 PM,12,Return_to_owner,,Dog,Neutered Male,1 year,Miniature Poodle Mix,White
A680679,Penny,"Friday, June 06, 2014",Friday,Jun,11:24:00 AM,11,Return_to_owner,,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,White/Brown
A530589,Chica,"Saturday, August 29, 2015",Saturday,Aug,12:11:00 PM,12,Return_to_owner,,Dog,Spayed Female,13 years,Labrador Retriever Mix,Black
A649685,Rusty,"Saturday, November 16, 2013",Saturday,Nov,12:30:00 PM,12,Adoption,Foster,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown
A695404,,"Sunday, January 18, 2015",Sunday,Jan,8:52:00 AM,8,Adoption,Offsite,Dog,Spayed Female,2 months,Rottweiler/German Shepherd,Sable
A717665,Rocky,"Tuesday, December 22, 2015",Tuesday,Dec,8:28:00 PM,20,Return_to_owner,,Dog,Neutered Male,8 years,Boxer/Chinese Sharpei,Brown Brindle/Black
A718607,,"Friday, January 08, 2016",Friday,Jan,7:01:00 PM,19,Transfer,Partner,Cat,Intact Male,2 years,Domestic Shorthair Mix,White/Blue Tabby
A682686,Tabitha,"Friday, July 11, 2014",Friday,Jul,2:05:00 PM,14,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
A687441,Tugboat,"Friday, September 12, 2014",Friday,Sep,11:49:00 AM,11,Return_to_owner,,Dog,Neutered Male,3 years,English Bulldog Mix,Brown/White
A720563,Yoshi,"Monday, February 15, 2016",Monday,Feb,6:30:00 PM,18,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan
A701479,,"Thursday, April 30, 2015",Thursday,Apr,7:00:00 PM,19,Transfer,Partner,Cat,Intact Female,1 week,Domestic Shorthair Mix,Calico
A686149,,"Thursday, August 21, 2014",Thursday,Aug,11:59:00 AM,11,Transfer,Partner,Dog,Neutered Male,5 years,Shih Tzu Mix,Black/White
A673087,Trini,"Thursday, March 06, 2014",Thursday,Mar,6:19:00 PM,18,Adoption,,Dog,Spayed Female,2 years,Yorkshire Terrier Mix,Brown/Black
A703333,,"Saturday, May 23, 2015",Saturday,May,3:41:00 PM,15,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black
A699232,Gotham,"Saturday, April 04, 2015",Saturday,Apr,4:09:00 PM,16,Adoption,,Dog,Spayed Female,2 years,Labrador Retriever Mix,Black
A704676,Vivian,"Saturday, August 15, 2015",Saturday,Aug,11:35:00 AM,11,Adoption,Foster,Dog,Spayed Female,2 months,Dachshund Wirehair/Miniature Poodle,Yellow
A663299,Jedi,"Thursday, October 24, 2013",Thursday,Oct,10:34:00 AM,10,Euthanasia,Aggressive,Dog,Neutered Male,4 years,Pit Bull Mix,Brown Brindle/White
A704354,Zsa-Zsa,"Thursday, July 16, 2015",Thursday,Jul,3:58:00 PM,15,Transfer,Partner,Cat,Intact Female,3 months,Domestic Medium Hair Mix,Blue
A656893,Daisy,"Saturday, June 06, 2015",Saturday,Jun,1:04:00 PM,13,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Orange Tabby
A681592,Ruby,"Monday, September 22, 2014",Monday,Sep,12:45:00 PM,12,Adoption,,Dog,Spayed Female,3 years,English Coonhound/Italian Greyhound,Brown Brindle/White
A689527,Dessau,"Friday, October 10, 2014",Friday,Oct,11:24:00 AM,11,Transfer,Partner,Dog,Intact Male,5 months,Great Pyrenees Mix,White
A705641,,"Friday, June 19, 2015",Friday,Jun,7:03:00 PM,19,Transfer,Partner,Cat,Unknown,1 week,Domestic Shorthair Mix,Black/White
A679107,,"Wednesday, May 21, 2014",Wednesday,May,7:44:00 PM,19,Transfer,SCRP,Cat,Neutered Male,1 year,Domestic Longhair Mix,Orange Tabby
A717606,Jane,"Tuesday, December 15, 2015",Tuesday,Dec,6:54:00 PM,18,Adoption,,Dog,Spayed Female,3 months,Wire Hair Fox Terrier Mix,White/White
A686866,Junior,"Monday, September 01, 2014",Monday,Sep,5:23:00 PM,17,Adoption,,Dog,Neutered Male,7 months,Chihuahua Shorthair Mix,Tan
A699801,,"Saturday, April 18, 2015",Saturday,Apr,8:52:00 AM,8,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair,Blue Tabby
A667242,Lily Pearl,"Saturday, November 23, 2013",Saturday,Nov,12:36:00 PM,12,Adoption,,Dog,Spayed Female,2 years,Schipperke Mix,Black
A688133,Princess,"Tuesday, September 16, 2014",Tuesday,Sep,5:08:00 PM,17,Return_to_owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Black/White
A702838,Runah,"Tuesday, September 08, 2015",Tuesday,Sep,1:14:00 PM,13,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby/White
A700308,Oreo,"Wednesday, October 07, 2015",Wednesday,Oct,8:26:00 AM,8,Adoption,Foster,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Black/White
A685583,,"Saturday, August 09, 2014",Saturday,Aug,3:58:00 PM,15,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby/White
A708086,,"Thursday, July 23, 2015",Thursday,Jul,9:00:00 AM,9,Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Brown Tabby
A713156,,"Thursday, October 08, 2015",Thursday,Oct,1:53:00 PM,13,Transfer,Partner,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
A707697,,"Friday, July 17, 2015",Friday,Jul,9:00:00 AM,9,Transfer,SCRP,Cat,Unknown,1 year,Domestic Medium Hair Mix,Brown Tabby
A704970,,"Thursday, June 11, 2015",Thursday,Jun,3:00:00 PM,15,Transfer,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Brown Tabby/White
A692788,,"Wednesday, November 26, 2014",Wednesday,Nov,1:05:00 PM,13,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black Smoke/White
A707958,Stitch,"Wednesday, July 29, 2015",Wednesday,Jul,12:00:00 AM,0,Transfer,Partner,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan
A694006,Gracie,"Thursday, January 01, 2015",Thursday,Jan,1:31:00 PM,13,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue
A700278,August,"Saturday, May 02, 2015",Saturday,May,9:16:00 PM,21,Adoption,Offsite,Dog,Neutered Male,1 month,Labrador Retriever/Australian Cattle Dog,Tan/White
A669581,,"Tuesday, December 31, 2013",Tuesday,Dec,5:15:00 PM,17,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Tan/Red
A693363,Osha,"Tuesday, February 03, 2015",Tuesday,Feb,6:29:00 PM,18,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue/White
A616584,Chico,"Friday, October 11, 2013",Friday,Oct,12:25:00 PM,12,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,White/Black
A689251,Blue,"Thursday, October 02, 2014",Thursday,Oct,6:45:00 PM,18,Return_to_owner,,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
A708723,Boogie,"Saturday, September 12, 2015",Saturday,Sep,5:33:00 PM,17,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
A693639,Scout,"Friday, December 12, 2014",Friday,Dec,2:34:00 PM,14,Return_to_owner,,Dog,Spayed Female,7 years,Pit Bull Mix,Brown Brindle/White
A666329,,"Saturday, November 09, 2013",Saturday,Nov,2:43:00 PM,14,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A663320,Billy,"Friday, October 18, 2013",Friday,Oct,5:08:00 PM,17,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A696046,Stuart,"Saturday, February 07, 2015",Saturday,Feb,1:19:00 PM,13,Transfer,Partner,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Brown Tabby/White
A670264,Skyla,"Sunday, January 12, 2014",Sunday,Jan,12:42:00 PM,12,Adoption,,Cat,Spayed Female,2 years,Angora Mix,Blue
A689746,Purdy,"Wednesday, February 04, 2015",Wednesday,Feb,3:47:00 PM,15,Adoption,,Dog,Spayed Female,8 months,Pit Bull Mix,White/Tan
A685421,,"Thursday, August 07, 2014",Thursday,Aug,12:49:00 PM,12,Euthanasia,Suffering,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Calico
A683803,Ajax,"Sunday, November 30, 2014",Sunday,Nov,1:17:00 PM,13,Adoption,,Dog,Neutered Male,6 months,Border Collie/Great Pyrenees,Black/White
A666065,Sandy,"Saturday, November 09, 2013",Saturday,Nov,6:14:00 PM,18,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
